Sample Replicate,Proportion
1,0.44
2,0.47
3,0.47
4,0.39
5,0.45
6,0.48
7,0.46
8,0.33
9,0.45
10,0.48
11,0.43
12,0.46
13,0.47
14,0.47
15,0.48
16,0.44
17,0.46
18,0.47
19,0.48
20,0.43
21,0.48
22,0.35
23,0.47
24,0.5
25,0.44
26,0.42
27,0.51
28,0.58
29,0.59
30,0.45
31,0.45
32,0.59
33,0.54
34,0.43
35,0.4
36,0.38
37,0.41
38,0.52
39,0.34
40,0.54
41,0.55
42,0.49
43,0.34
44,0.42
45,0.5
46,0.36
47,0.34
48,0.46
49,0.4
50,0.43
51,0.55
52,0.49
53,0.48
54,0.59
55,0.53
56,0.42
57,0.43
58,0.5
59,0.44
60,0.55
61,0.51
62,0.33
63,0.46
64,0.49
65,0.41
66,0.43
67,0.4
68,0.43
69,0.47
70,0.57
71,0.39
72,0.52
73,0.38
74,0.46
75,0.57
76,0.55
77,0.41
78,0.5
79,0.52
80,0.48
81,0.48
82,0.58
83,0.51
84,0.4
85,0.39
86,0.49
87,0.5
88,0.43
89,0.49
90,0.42
91,0.41
92,0.53
93,0.64
94,0.53
95,0.48
96,0.45
97,0.57
98,0.38
99,0.34
100,0.54
