"year","phase","oni"
1872,"N",-0.02
1873,"L",-0.908
1874,"N",-0.542
1875,"N",-0.51
1876,"N",-0.338
1877,"E",0.916
1878,"E",3.068
1879,"N",-0.522
1880,"L",-0.876
1881,"N",0.59
1882,"N",0.264
1883,"N",-0.228
1884,"N",0.426
1885,"E",0.866
1886,"E",1.032
1887,"L",-1.698
1888,"N",0.482
1889,"E",2.446
1890,"L",-1.698
1891,"N",-0.188
1892,"N",-0.058
1893,"L",-1.416
1894,"L",-1.308
1895,"L",-0.76
1896,"N",0.45
1897,"E",1.724
1898,"N",-0.35
1899,"L",-0.69
1900,"E",1.374
1901,"N",0.496
1902,"N",-0.092
1903,"E",1.898
1904,"L",-1.284
1905,"E",0.842
1906,"E",1.062
1907,"L",-0.65
1908,"N",0.034
1909,"L",-1.14
1910,"L",-1.408
1911,"L",-0.994
1912,"E",1.25
1913,"N",-0.528
1914,"E",0.786
1915,"E",1.416
1916,"L",-0.852
1917,"L",-2.078
1918,"L",-1.148
1919,"E",1.678
1920,"E",0.746
1921,"N",-0.444
1922,"E",0.708
1923,"L",-0.7
1924,"E",0.936
1925,"L",-1.324
1926,"E",1.432
1927,"L",-0.634
1928,"N",0.266
1929,"N",-0.26
1930,"N",0.392
1931,"E",1.498
1932,"N",-0.554
1933,"N",-0.278
1934,"L",-1.196
1935,"N",-0.128
1936,"N",0.052
1937,"N",-0.21
1938,"N",-0.136
1939,"L",-0.94
1940,"E",0.626
1941,"E",2.03
1942,"E",1.244
1943,"L",-1.56
1944,"N",-0.076
1945,"N",-0.404
1946,"N",-0.266
1947,"N",0.256
1948,"N",-0.052
1949,"N",-0.446
1950,"L",-1.13
1951,"N",-0.59
1952,"E",0.796
1953,"N",0.262
1954,"E",0.79
1955,"L",-0.664
1956,"L",-1.35
1957,"N",-0.314
1958,"E",1.66
1959,"N",0.582
1960,"N",-0.03
1961,"N",0.088
1962,"N",-0.222
1963,"N",-0.328
1964,"E",1.172
1965,"L",-0.666
1966,"E",1.642
1967,"N",-0.29
1968,"N",-0.51
1969,"E",0.932
1970,"E",0.664
1971,"L",-1.118
1972,"L",-0.79
1973,"E",1.908
1974,"L",-1.858
1975,"L",-0.622
1976,"L",-1.516
1977,"E",0.814
1978,"E",0.728
1979,"N",-0.054
1980,"N",0.532
1981,"N",-0.132
1982,"N",-0.098
1983,"E",2.158
1984,"L",-0.774
1985,"L",-0.924
1986,"N",-0.394
1987,"E",1.174
1988,"E",1.022
1989,"L",-1.726
1990,"N",-0.012
1991,"N",0.386
1992,"E",1.43
1993,"N",-0.07
1994,"N",0.044
1995,"E",0.94
1996,"L",-0.944
1997,"N",-0.45
1998,"E",2.32
1999,"L",-1.486
2000,"L",-1.538
2001,"L",-0.68
2002,"N",-0.208
2003,"E",1.074
2004,"N",0.354
2005,"E",0.64
2006,"L",-0.658
2007,"E",0.732
2008,"L",-1.568
2009,"L",-0.67
2010,"E",1.366
2011,"L",-1.512
2012,"L",-0.964
2013,"N",-0.176
2014,"N",-0.328
2015,"N",0.564
2016,"E",2.506
2017,"N",-0.496
2018,"L",-0.854
2019,"E",0.816
2020,"N",0.502
